Feature,Univariate_HR,Univariate_p,Multivariate_HR,Multivariate_p
anchor_age_x,1.437 (1.387-1.489),0.0000,1.213 (1.180-1.247),0.0000
bicarbonate_min,0.699 (0.676-0.721),0.0000,0.900 (0.876-0.924),0.0000
bnd_min,1.352 (1.322-1.382),0.0000,1.146 (1.117-1.176),0.0000
calcium_min,0.854 (0.827-0.881),0.0000,0.995 (0.969-1.022),0.7152
charlson_comorbidity_index,1.641 (1.594-1.689),0.0000,1.339 (1.306-1.374),0.0000
chloride_min,0.821 (0.797-0.846),0.0000,0.896 (0.870-0.923),0.0000
creatinine_max,1.119 (1.093-1.146),0.0000,0.941 (0.914-0.970),0.0001
dbp_min,0.777 (0.753-0.803),0.0000,0.974 (0.948-1.001),0.0629
gcs_score,0.744 (0.722-0.767),0.0000,0.820 (0.799-0.843),0.0000
glucose_max,1.084 (1.057-1.112),0.0000,0.979 (0.956-1.004),0.0954
heart_rate_mean,1.461 (1.418-1.505),0.0000,1.231 (1.200-1.263),0.0000
hemoglobin_max,0.755 (0.729-0.781),0.0000,0.930 (0.904-0.956),0.0000
los,1.060 (1.034-1.087),0.0000,0.996 (0.972-1.021),0.7689
magnesium_max,1.042 (1.022-1.062),0.0000,0.980 (0.954-1.007),0.1443
map_mean,0.084 (0.034-0.207),0.0000,0.997 (0.972-1.023),0.8088
mchc_min,0.765 (0.742-0.790),0.0000,0.923 (0.899-0.949),0.0000
mcv_max,1.245 (1.206-1.286),0.0000,1.086 (1.059-1.114),0.0000
platelet_min,0.944 (0.912-0.977),0.0009,0.995 (0.969-1.023),0.7342
potassium_max,1.197 (1.164-1.230),0.0000,1.014 (0.988-1.041),0.2864
pt_min,1.189 (1.167-1.210),0.0000,1.070 (1.048-1.092),0.0000
ptt_mean,1.224 (1.194-1.255),0.0000,1.077 (1.052-1.102),0.0000
resp_rate_min,1.155 (1.116-1.196),0.0000,1.071 (1.044-1.098),0.0000
sbp_mean,0.651 (0.626-0.677),0.0000,0.882 (0.857-0.908),0.0000
sodium_min,0.860 (0.834-0.886),0.0000,0.977 (0.949-1.006),0.1169
sofa_score,1.379 (1.339-1.419),0.0000,1.059 (1.026-1.092),0.0003
spo2_mean,0.021 (0.001-0.748),0.0340,0.988 (0.959-1.019),0.4531
spo2_min,0.807 (0.794-0.820),0.0000,0.887 (0.871-0.903),0.0000
temp_min,0.931 (0.904-0.958),0.0000,0.999 (0.974-1.024),0.9447
urine_output_24h,0.392 (0.359-0.428),0.0000,0.888 (0.857-0.919),0.0000
wbc_min,1.087 (1.073-1.101),0.0000,1.044 (1.028-1.060),0.0000
weight,0.747 (0.717-0.778),0.0000,0.873 (0.848-0.899),0.0000
