covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),sig,abs_coef
charlson_comorbidity_index,0.2921116657977969,1.3392525579952068,0.012909214423675668,0.2668100704586876,0.3174132611369062,1.3057924142228052,1.3735700977894227,0.0,22.628151970429766,2.2900073118868938e-113,374.1825225174842,***,0.2921116657977969
heart_rate_mean,0.20817940934528947,1.2314340805136814,0.013078088810910073,0.18254682628928948,0.23381199240128947,1.2002703538444954,1.263406939772705,0.0,15.918182874826552,4.7394239013603866e-57,187.10518970497563,***,0.20817940934528947
gcs_score,-0.19792167635032196,0.8204341100151984,0.01363081812397169,-0.2246375889531223,-0.1712057637475216,0.7988056623037675,0.84264816918694,0.0,-14.520161192837659,9.029765441237827e-48,156.27786004209855,***,0.19792167635032196
anchor_age_x,0.19303767436288186,1.2129284889663838,0.014139242414030782,0.16532526846270035,0.22075008026306336,1.1797768004944424,1.2470117387710113,0.0,13.65261792041453,1.9475425808080717e-42,138.55932511374783,***,0.19303767436288186
bnd_min,0.13631487450715513,1.1460426964172885,0.012990148173915224,0.11085465193244254,0.1617750970818677,1.117232507466553,1.1755958166574647,0.0,10.493712056409121,9.232822486846928e-26,83.16335871786696,***,0.13631487450715513
weight,-0.13566562158926002,0.873134541022233,0.014852641361106554,-0.16477626373231882,-0.10655497944620121,0.8480834298841382,0.8989256243695937,0.0,-9.134107415029687,6.594853905763874e-20,63.71722119759787,***,0.13566562158926002
sbp_mean,-0.12538132819652875,0.8821604457865997,0.014835572284243008,-0.15445851556368567,-0.09630414082937183,0.8568790385486841,0.9081877570823528,0.0,-8.451398152648103,2.8783484956648664e-17,54.947536336319786,***,0.12538132819652875
spo2_min,-0.120053311059628,0.8868731553091925,0.009014530191532085,-0.13772146557257986,-0.10238515654667617,0.8713413565148075,0.9026818108968258,0.0,-13.317755724241916,1.8251179589735252e-40,132.0091340858434,***,0.120053311059628
urine_output_24h,-0.11932300448242986,0.8875210811711172,0.017616751659325615,-0.1538512032592943,-0.08479480570556541,0.8573995897847556,0.9187007772197487,0.0,-6.773269373940738,1.2590421069550447e-11,36.20888251091898,***,0.11932300448242986
chloride_min,-0.10993981699404262,0.8958880509100152,0.014969187691868046,-0.13927888574792424,-0.08060074824016099,0.8699853681025006,0.9225619524083568,0.0,-7.344407676427694,2.0667229122531787e-13,42.13772025547129,***,0.10993981699404262
bicarbonate_min,-0.10581207490813353,0.8995936884185042,0.01373539751852644,-0.13273295935778617,-0.07889119045848088,0.8756989080869987,0.9241404742759023,0.0,-7.70360484765098,1.3228047462120418e-14,46.10339320139473,***,0.10581207490813353
mcv_max,0.08236912748216184,1.0858565553581732,0.012961510866061277,0.05696503299945717,0.10777322196486651,1.0586187930244004,1.1137951324723367,0.0,6.354901703461059,2.0855994264495612e-10,32.15881885763593,***,0.08236912748216184
mchc_min,-0.07979005283735531,0.9233101723902484,0.013742030444386644,-0.10672393758280609,-0.052856168091904535,0.8987737564011795,0.9485164295994251,0.0,-5.806278275998728,6.387676492908482e-09,27.22206160540354,***,0.07979005283735531
ptt_mean,0.07403379348004908,1.0768431951603814,0.01186509711056285,0.05077863047027564,0.09728895648982253,1.0520899668415593,1.1021788093316636,0.0,6.239628111778439,4.386124051098775e-10,31.08633433308324,***,0.07403379348004908
hemoglobin_max,-0.07294838849282145,0.9296488093638371,0.014089476507622852,-0.10056325500878542,-0.045333521976857485,0.9043279073338123,0.9556786888282798,0.0,-5.177508791994796,2.24868350133365e-07,22.08441604586527,***,0.07294838849282145
resp_rate_min,0.06813565796974261,1.0705105219128626,0.013000198869177807,0.04265573639429577,0.09361557954518945,1.0435785668821198,1.0981375182416888,0.0,5.241124282435829,1.596011704507895e-07,22.579025432467333,***,0.06813565796974261
pt_min,0.06748088213860325,1.0698098069267874,0.010504551838042074,0.04689233886230675,0.08806942541489973,1.0480091731458483,1.0920639363883262,0.0,6.423965836812025,1.3276901247043483e-10,32.81036247968756,***,0.06748088213860325
creatinine_max,-0.060589664846362724,0.9412093718410109,0.015218501835186532,-0.09041738034198504,-0.030761949350740406,0.9135498079558025,0.9697063848369928,0.0,-3.981315999599515,6.853476382686378e-05,13.8328045027371,***,0.060589664846362724
sofa_score,0.05689389248512311,1.0585434850177378,0.015762072139884467,0.026000798769227375,0.08778698620101885,1.026341768283336,1.091755538262537,0.0,3.609543972404388,0.00030673577606076636,11.670715934707339,***,0.05689389248512311
wbc_min,0.04285577974002648,1.0437873487121836,0.007766133467070265,0.02763443784543758,0.05807712163461538,1.0280198105860956,1.0597967258145222,0.0,5.518290397884909,3.423134332967793e-08,24.800106850419343,***,0.04285577974002648
dbp_min,-0.02608153005015209,0.9742556552582159,0.01402087006787747,-0.053561930415107595,0.001398870314803416,0.9478472386131442,1.001399849190269,0.0,-1.860193406249888,0.06285816761442879,3.9917559731917955,,0.02608153005015209
sodium_min,-0.023249522297776375,0.9770186654131191,0.014830111377702567,-0.05231600648479109,0.005816961889238338,0.9490289201598123,1.0058339132646112,0.0,-1.5677240518053421,0.11694554603489897,3.0960911783507306,,0.023249522297776375
glucose_max,-0.020844079051014822,0.979371657223362,0.012500971188837464,-0.04534553235290911,0.0036573742508794714,0.9556672108367702,1.0036640706052877,0.0,-1.6673967755103059,0.09543553462376865,3.389329648070746,,0.020844079051014822
magnesium_max,-0.020029212592544216,0.9801700395805343,0.013718926797966992,-0.046917815023100926,0.006859389838012493,0.9541658124633199,1.00688296933531,0.0,-1.459969346546287,0.1442984987033545,2.792871804929994,,0.020029212592544216
potassium_max,0.014110625726129323,1.0142106505224024,0.013236147000971154,-0.011831745689851987,0.040052997142110636,0.9882379741730539,1.0408659356505854,0.0,1.066067468508321,0.28639314407342065,1.803931138352461,,0.014110625726129323
spo2_mean,-0.011654799520452539,0.9884128545687906,0.01553401811159598,-0.042100915554373564,0.018791316513468485,0.9587730205793824,1.0189689844280896,0.0,-0.7502759065120669,0.4530885503904716,1.142135060676084,,0.011654799520452539
calcium_min,-0.004876693490706992,0.9951351782728367,0.01336624780248294,-0.031074057792011195,0.021320670810597214,0.9694037785141814,1.0215495802522534,0.0,-0.36485134517714746,0.7152223751776505,0.4835362240639867,,0.004876693490706992
platelet_min,-0.004691078019963598,0.9953199079012133,0.01381369876522233,-0.03176543009308478,0.022383274053157584,0.9687337912251751,1.0226356590819154,0.0,-0.3395960849945533,0.734160726826725,0.4458321538737103,,0.004691078019963598
los,-0.003681384343039761,0.9963253836445657,0.012532300030971447,-0.028244241047194002,0.020881472361114477,0.9721508986491757,1.0211010157721596,0.0,-0.29375169234233506,0.7689476511429975,0.3790427099734715,,0.003681384343039761
map_mean,-0.0031414971504677577,0.9968634321885196,0.012983087877894664,-0.028587881799259855,0.022304887498324343,0.9718168853768153,1.0225555013374363,0.0,-0.24196841152223506,0.8088046399602241,0.30613682115236457,,0.0031414971504677577
temp_min,-0.0008853765242999933,0.9991150153058473,0.012774039836639274,-0.025922034541192886,0.0241512814925929,0.9744110570524224,1.0244452857803519,0.0,-0.06931061243135493,0.9447423785554562,0.08200711989336538,,0.0008853765242999933
