,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),sig
charlson_comorbidity_index,0.4952550766395923,1.640916745208422,0.014864757311543676,0.4661206876700382,0.5243894656091463,1.593799339670512,1.6894270801128874,0.0,33.317400766105145,2.161517871478087e-243,806.1164822931111,***
spo2_min,-0.21448381347555662,0.806957873469532,0.008014438926434803,-0.23019182512766467,-0.19877580182344856,0.7943812056108439,0.8197336555234082,0.0,-26.76217455074788,8.910934467752488e-158,521.7090622606468,***
bnd_min,0.3012772446673216,1.3515840090572782,0.01142909548997786,0.27887662913109584,0.32367786020354733,1.3216442814077878,1.3822019731311497,0.0,26.360550135530033,3.885002443947925e-153,506.2970830115735,***
heart_rate_mean,0.3788502957673884,1.4606043607205812,0.015260680314095464,0.3489399119721819,0.4087606795625949,1.417564009157211,1.5049515117305596,0.0,24.825256015452002,4.78571568214645e-136,449.5234862153146,***
bicarbonate_min,-0.3588024809847784,0.6985123071897107,0.01638089322362121,-0.3909084417376722,-0.3266965202318846,0.6764420870661545,0.7213026105629873,0.0,-21.903718929526143,2.3941949290141055e-106,350.8648374405854,***
sofa_score,0.3212403016222543,1.37883687782513,0.01478538350008921,0.2922614824644667,0.3502191207800419,1.3394532153798095,1.419378529851421,0.0,21.726883284448864,1.1430179089731815e-104,345.2876738601975,***
sbp_mean,-0.4294812350188438,0.6508466436082831,0.01994095174590424,-0.4685647822582672,-0.39039768777942035,0.625899926640277,0.6767876707862654,0.0,-21.537649781789217,6.912610345634698e-103,339.36936316820226,***
urine_output_24h,-0.9365303521614587,0.3919855303829045,0.04504072199605631,-1.0248085451114102,-0.8482521592115073,0.3588651653195196,0.42816263844600405,0.0,-20.792969354342492,5.011201176185857e-96,316.5799406528282,***
anchor_age_x,0.3628463715353692,1.4374150144159161,0.01815621247405078,0.3272608489905728,0.3984318940801656,1.387163270130361,1.4894871917089743,0.0,19.98469515896867,7.484292858486689e-89,292.74773443299995,***
gcs_score,-0.29600858651697476,0.7437810415042223,0.015411455083727925,-0.32621448343043824,-0.2658026896035113,0.7216503887804737,0.7665903688294033,0.0,-19.20704988002809,3.231136002334025e-82,270.7060623041427,***
pt_min,0.1727448368760776,1.1885627889939196,0.009301416585673362,0.1545143953629543,0.19097527838920092,1.1670910786362465,1.210429527943725,0.0,18.571884753785813,5.4264315412772e-77,253.3484595226761,***
mchc_min,-0.26747177129331823,0.7653119340840127,0.016055331893471827,-0.29893964356436026,-0.23600389902227617,0.7416041686685194,0.789777594566365,0.0,-16.659373538212158,2.587201470963567e-62,204.58814947884207,***
ptt_mean,0.20225405176698338,1.2241589683586656,0.012661056030653242,0.17743883794065937,0.2270692655933074,1.1941550186887528,1.2549167874858145,0.0,15.974500964004356,1.9238792700146647e-57,188.4058831406651,***
hemoglobin_max,-0.2813689033006342,0.7547498544046292,0.017755484740340284,-0.31616901391975166,-0.2465687926815167,0.7289362393846809,0.7814775997481851,0.0,-15.846872525049505,1.4775333732089812e-56,185.46478259660972,***
dbp_min,-0.25177138595911147,0.7774224474419303,0.01641036975585422,-0.2839351196535711,-0.21960765226465184,0.7528154860512895,0.8028337261720784,0.0,-15.342212863259512,3.9934622360742693e-53,174.06454895803688,***
weight,-0.29220835126513256,0.7466129620117046,0.020997798206213784,-0.33336327950395134,-0.2510534230263138,0.7165098535261895,0.7779808083595546,0.0,-13.916142463863695,5.05457621328287e-44,143.82724603655063,***
mcv_max,0.21949233199364473,1.2454442978443157,0.016330606659609496,0.18748493109512016,0.2514997328921693,1.2062120729890389,1.2859525565758585,0.0,13.440549795159496,3.4982778309418133e-41,134.39240701867377,***
