Threshold,Sensitivity,Specificity,PPV,NPV,F1_Score,Balanced_Accuracy,Youden_Index,True_Positive,False_Positive,True_Negative,False_Negative,Model,AUROC
0.05,0.9595185995623632,0.45275768535262206,0.2659187386294724,0.9818627450980392,0.41642924976258305,0.7061381424574926,0.41227628491498525,877,2421,2003,37,LightGBM,0.8670045227741265
0.1,0.8687089715536105,0.659132007233273,0.34491746307558646,0.9604743083003953,0.4937810945273632,0.7639204893934417,0.5278409787868834,794,1508,2916,120,LightGBM,0.8670045227741265
0.15000000000000002,0.7910284463894968,0.7696654611211573,0.4150401836969001,0.9468854282536151,0.5444277108433735,0.780346953755327,0.5606939075106541,723,1019,3405,191,LightGBM,0.8670045227741265
0.2,0.7286652078774617,0.8338607594936709,0.4753747323340471,0.937007874015748,0.5753779697624191,0.7812629836855662,0.5625259673711325,666,735,3689,248,LightGBM,0.8670045227741265
0.25,0.6663019693654267,0.8783905967450272,0.5309503051438536,0.9272250059651634,0.5909752547307132,0.772346283055227,0.544692566110454,609,538,3886,305,LightGBM,0.8670045227741265
0.3,0.6094091903719913,0.9113924050632911,0.5869336143308747,0.9186602870813397,0.5979602791196994,0.7604007977176412,0.5208015954352825,557,392,4032,357,LightGBM,0.8670045227741265
0.35000000000000003,0.5525164113785558,0.9324141048824593,0.6281094527363185,0.9097926775474195,0.5878928987194412,0.7424652581305076,0.48493051626101513,505,299,4125,409,LightGBM,0.8670045227741265
0.4,0.4890590809628009,0.9468806509945751,0.655425219941349,0.8996993127147767,0.5601503759398495,0.717969865978688,0.4359397319573759,447,235,4189,467,LightGBM,0.8670045227741265
0.45,0.42778993435448576,0.958634719710669,0.681184668989547,0.8902183039462637,0.525537634408602,0.6932123270325774,0.3864246540651548,391,183,4241,523,LightGBM,0.8670045227741265
0.5,0.37199124726477023,0.9703887884267631,0.721868365180467,0.8820628724059996,0.4909747292418772,0.6711900178457667,0.3423800356915334,340,131,4293,574,LightGBM,0.8670045227741265
0.55,0.31291028446389496,0.9785262206148282,0.7506561679790026,0.8733104700423643,0.44169884169884166,0.6457182525393615,0.2914365050787231,286,95,4329,628,LightGBM,0.8670045227741265
