Model,AUROC,Optimal_Threshold_Youden,Optimal_Threshold_F1,Sensitivity_at_Optimal,Specificity_at_Optimal,PPV_at_Optimal,NPV_at_Optimal,F1_at_Optimal,Balanced_Acc_at_Optimal,Youden_Index
LightGBM,0.8670045227741265,0.16000000000000003,0.30000000000000004,0.7910284463894968,0.7696654611211573,0.4150401836969001,0.9468854282536151,0.5444277108433735,0.780346953755327,0.5606939075106541
XGBoost,0.8638120199745966,0.17000000000000004,0.29000000000000004,0.7833698030634574,0.7721518987341772,0.41531322505800466,0.945213060320974,0.5428354814253223,0.7777608508988173,0.5555217017976346
Gradient Boosting,0.8609076313404901,0.18000000000000005,0.26000000000000006,0.7100656455142232,0.8300180831826401,0.4632405424696645,0.9326898653797308,0.5606911447084233,0.7700418643484317,0.5400837286968634
Random Forest,0.8556696416206014,0.22000000000000003,0.31000000000000005,0.7680525164113785,0.7658227848101266,0.4039125431530495,0.9411111111111111,0.5294117647058824,0.7669376506107526,0.5338753012215052
MLP,0.849234927053945,0.17000000000000004,0.30000000000000004,0.7943107221006565,0.7432188065099458,0.38990332975295383,0.9459148446490219,0.5230547550432277,0.768764764305301,0.5375295286106021
AdaBoost,0.8439506906826105,0.5000000000000001,0.5000000000000001,0.4037199124726477,0.9622513562386981,0.6884328358208955,0.8865056226572262,0.5089655172413794,0.6829856343556728,0.36597126871134567
Logistic Regression,0.8340064240803098,0.18000000000000005,0.28,0.7035010940919038,0.805379746835443,0.4275265957446808,0.9293166405842462,0.5318444995864351,0.7544404204636734,0.5088808409273469
SVM,0.8313223871383859,0.16000000000000003,0.26000000000000006,0.7592997811816192,0.75,0.38555555555555554,0.9378179762577727,0.5114222549742078,0.7546498905908097,0.5092997811816193
Gaussian Naive Bayes,0.7872658979665322,0.07,0.2,0.7242888402625821,0.6939421338155516,0.32837301587301587,0.9241420830824805,0.451877133105802,0.7091154870390668,0.4182309740781336
Complement Naive Bayes,0.7345031675246615,0.5100000000000001,0.5100000000000001,1.0,0.003616636528028933,0.17173994738819992,1.0,0.2931366260423348,0.5018083182640145,0.003616636528029016
