feature,p_value,skewed
sbp_min,4.995164884335487e-183,False
spo2_min,1.7301789039263528e-147,True
map_min,2.137912200166047e-140,False
resp_rate_mean,9.329029197160033e-125,False
spo2_mean,3.403364935034992e-102,True
heart_rate_mean,1.2613022932626725e-96,True
pt_min,1.0654761788705177e-81,True
gcs_min_4.0,4.424408268343435e-76,False
map_mean,4.828446409200836e-74,True
heart_rate_min,8.766471464516446e-71,False
bun_min,7.851310434268425e-60,True
phosphate_min,1.9976305343958539e-54,True
hemoglobin_max,2.3578558251877012e-53,False
bicarbonate_mean,5.124197715637396e-53,False
phosphate_mean,1.4637426869513826e-50,True
temp_min,6.106282924917e-47,True
bicarbonate_max,2.552667764504868e-44,True
temp_mean,2.897314415524344e-41,True
bun_mean,1.44218102437804e-38,True
ptt_min,4.018693263870749e-38,True
pt_mean,1.454700996174858e-36,True
magnesium_min,3.3869880858367614e-35,False
resp_rate_min,1.6423981316253377e-34,False
mechanical_ventilation_1,4.698878401907231e-34,False
magnesium_mean,2.4486454356819698e-31,True
anchor_age,7.809394361025459e-30,False
bicarbonate_min,5.148926144064921e-29,False
potassium_min,1.4936982693727215e-28,False
platelet_max,1.579566504909828e-26,True
metastatic_solid_tumor_1,8.204745650799935e-25,False
mcv_min,9.49897621400773e-25,False
sbp_mean,3.393197751587057e-22,True
ptt_mean,6.524482198870626e-21,False
wbc_min,7.370088317945182e-21,True
glucose_min,1.3566007386347624e-19,True
wbc_mean,6.3403995617918414e-18,True
mchc_max,7.784793826859142e-18,True
hemoglobin_mean,4.264971405310149e-17,False
glucose_mean,2.1189750014777886e-15,True
calcium_mean,4.595074007335434e-15,False
chloride_max,7.331067715490728e-15,False
platelet_mean,7.410539990851472e-13,False
creatinine_min,1.574019166327475e-11,True
gcs_min_3.0,2.5494125615680747e-11,False
charlson_index,7.665027576612402e-11,False
gcs_min_2.0,2.9484729807264574e-10,True
potassium_mean,7.007963018349651e-10,False
wbc_max,7.776611080187107e-07,True
phosphate_max,1.7103283299459873e-06,True
renal_disease_1,3.3299874323997488e-06,False
potassium_max,4.093842060482811e-06,False
mcv_mean,4.31015975245829e-06,False
los,7.565005987906562e-06,True
severe_liver_disease_1,1.1755033168837033e-05,False
calcium_max,9.331272478411923e-05,True
mchc_min,0.00010188208633441089,False
chronic_pulmonary_disease_1,0.00018419495943656068,False
chloride_min,0.00042418622602025845,False
glucose_max,0.0017167094615435374,True
chloride_mean,0.005257899243045897,False
resp_rate_max,0.007557739669262267,True
sodium_max,0.008009911946892634,False
aids_1,0.009812475099197356,True
platelet_min,0.012096337426328343,False
cerebrovascular_disease_1,0.01727787422778239,False
congestive_heart_failure_1,0.01754502984537776,False
sodium_mean,0.023922992719038513,False
magnesium_max,0.029071217299269675,True
hemoglobin_min,0.03415560778112925,False
