Model,Optimal_Threshold,CV_AUROC,Calibration_Method,Brier_Improvement,AUROC,AUROC_CI_Lower,AUROC_CI_Upper,AUPRC,AUPRC_CI_Lower,AUPRC_CI_Upper,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,Sensitivity,Sensitivity_CI_Lower,Sensitivity_CI_Upper,Specificity,Specificity_CI_Lower,Specificity_CI_Upper,PPV,PPV_CI_Lower,PPV_CI_Upper,NPV,NPV_CI_Lower,NPV_CI_Upper,F1,F1_CI_Lower,F1_CI_Upper,Brier,Brier_CI_Lower,Brier_CI_Upper
XGBoost,0.19379845261573792,0.8541244753680699,isotonic,-6.4029509299762255e-06,0.8634395736800661,0.8503309792469455,0.8752511595783466,0.6122932103938807,0.5840176717679993,0.6422391801609953,0.783626826526789,0.7720119895091795,0.7939303109778943,0.7702407002188184,0.741484546308865,0.7980354122791649,0.7863924050632911,0.77434719649384,0.7980110069055403,0.4269254093389933,0.40495998507643166,0.4523282819225251,0.9430740037950665,0.9351421312320495,0.9501700486602633,0.5493562231759657,0.5275576158526584,0.5711627604479627,0.09648989258767812,0.09140897247373424,0.1018340046592365
LightGBM,0.20668854526732533,0.8525133744101581,isotonic,-0.00044339570738685663,0.8626196230230174,0.8496993280682925,0.8747300978553509,0.6158133364582511,0.5858124630961172,0.6463796056145715,0.8128512551517423,0.8017000749344324,0.8227800674409891,0.7341356673960613,0.7056253790901835,0.7629230398069964,0.8291139240506329,0.8179571875708778,0.8396282837459308,0.47021723896285916,0.4462107623978747,0.49584313081365194,0.9378675530554845,0.929852183365093,0.9448543869117503,0.5732592909013242,0.549248201140442,0.5970626335062966,0.0954915366242319,0.09056915528120334,0.10094899299440044
Gradient Boosting,0.1458202941553307,0.8516591611571604,isotonic,-0.000337652646489231,0.8556341528800535,0.8431651047418003,0.8684591884610672,0.5990715199474927,0.5693292390733206,0.6282039619939086,0.756463094792057,0.7443752341701012,0.7675252903709254,0.799781181619256,0.7740480623783264,0.8243560674768728,0.7475135623869801,0.7346683665768736,0.7602167637897336,0.39556277056277056,0.37563570704693044,0.4180868700265252,0.9475644699140401,0.9397977732605631,0.9541844933592959,0.5293265749456916,0.5086658458097051,0.5513909510491866,0.09800771158187664,0.09324693513899872,0.10363991431434201
Random Forest,0.2,0.8431714675582953,isotonic,0.0038580444045804713,0.8541072714574571,0.8411504008093176,0.8656719846035817,0.5972312090327582,0.5684560205425009,0.6280903967694013,0.7808167853128513,0.7695766204571001,0.7915932933683028,0.7483588621444202,0.7184317376933749,0.7723812099481592,0.7875226039783002,0.7753972274164999,0.8009759201106879,0.4211822660098522,0.3981819165292848,0.4456290320120789,0.9380721593968767,0.9301549373900072,0.9453233101474909,0.5390070921985816,0.5177483490119769,0.5622857291593073,0.09867076782041836,0.09369676597331596,0.10415781890084738
MLP,0.1587818072051201,0.8415888662788931,isotonic,0.0023271342394885347,0.8423004024200601,0.8272674814184214,0.8562996316738869,0.5829226379213499,0.5530115833818207,0.612856942879055,0.7823154739602848,0.7715389659048333,0.7924316223304608,0.7461706783369803,0.7154010212341989,0.7731490796697176,0.7897830018083183,0.7784662565318715,0.8024801197250225,0.4230769230769231,0.4004171894604768,0.4472815338557318,0.9377348362855609,0.9291079946368497,0.9448408236759017,0.5399841646872525,0.5169618730424597,0.563187659854212,0.10028631576394657,0.09535611594656593,0.10649652130368932
AdaBoost,0.22377622377622378,0.8339566252023248,isotonic,0.12529080141362756,0.8382895564674088,0.8235937702765992,0.8512489928001963,0.5559386868767566,0.5241436869712528,0.5865637561201962,0.7701386286998876,0.7587111277632071,0.7808167853128513,0.7341356673960613,0.7047867120171042,0.7620446250125394,0.7775768535262206,0.7647924034366916,0.7899649432077298,0.4054380664652568,0.3816737793040065,0.4292100449656457,0.9340211783871843,0.9256595118032802,0.9412522764923276,0.5223822499026859,0.4992012792944599,0.5440379628096893,0.10357250427813974,0.09867246338447845,0.10914846764495023
Logistic Regression,0.17924932702557764,0.8303845998756554,sigmoid,3.4724535946301094e-05,0.8340239829693615,0.8186980034685712,0.8485588493184977,0.5773266383583342,0.546889162932309,0.609587902252866,0.7688272761333833,0.7572920569501687,0.779505432746347,0.75054704595186,0.7223887340852916,0.7799594017094017,0.7726039783001808,0.7596661014798549,0.7854886337212406,0.40543735224586286,0.3829841667174578,0.43034196315255996,0.9374657158529895,0.9286268372346217,0.9453627719701273,0.5264773599386032,0.5027237354085603,0.550576267978804,0.10330645547029513,0.09848285193570651,0.1091415067287483
SVM,0.1777469880589051,0.8260722820516543,sigmoid,1.2676572670344832e-05,0.8302364564084503,0.8151999413964675,0.8452439623123179,0.5832052931564232,0.5537125222896575,0.6149362822136809,0.7682652678905957,0.7572124391157737,0.7796037841888348,0.7363238512035011,0.7066957821988001,0.7678940081130065,0.7748643761301989,0.7637273127794802,0.7878200976503839,0.40323547034152185,0.38096384387126225,0.42804907438813217,0.934314527119106,0.925858051402493,0.9419255137056665,0.5210994967092528,0.49788147515778897,0.5454723336926863,0.10293322423565392,0.09810906939527272,0.10874421404800116
Gaussian Naive Bayes,0.16393442622950818,0.7819674191076424,isotonic,0.0371011817227251,0.7868979032213389,0.7705997339991241,0.8018901128351281,0.4533390954980446,0.42044032161257777,0.48481475693595905,0.6785312851255152,0.6664434245035594,0.6903334582240539,0.7680525164113785,0.7391271667293043,0.7932552943417619,0.6600361663652803,0.6471318546726017,0.6742852784413716,0.3182230281051677,0.30049706281066424,0.33857381467956754,0.9323116219667944,0.9230020535546561,0.9407819837418634,0.45,0.4303701724677569,0.4713370473122795,0.1163906748082797,0.1114673711659487,0.12223130085215349
Complement Naive Bayes,0.19444444444444445,0.7256919518960862,isotonic,0.12864181051875984,0.7321094705228295,0.7162609044036867,0.7505832664054501,0.37406766554135973,0.34666928739459235,0.4083910446541381,0.6676657924316224,0.6566129636568003,0.6801283252154365,0.661925601750547,0.6307581680064901,0.6934359641979541,0.6688517179023508,0.6570832816731544,0.682855290470652,0.2922705314009662,0.27408169142505506,0.31254952940685315,0.9054467564259486,0.8950258824741286,0.9151595294798879,0.40549597855227887,0.38445021780694716,0.4279656546561177,0.12574791912516592,0.12003851555864148,0.13203579432358384
