feature,mean_abs_shap,mean_shap
charlson_comorbidity_index,0.4646008727427463,0.049670898194373946
gcs_score,0.31818480217252143,-0.024571367701681387
urine_output_24h,0.29367670736226215,-0.016803900417283576
anchor_age_x,0.27527495555178894,-0.023935070181181805
bnd_min,0.22665261147260068,0.0005472585536558192
heart_rate_mean,0.18206147102019754,-0.012029612888985882
los,0.18182240001357966,0.007420814283777758
weight,0.17437964074282072,0.0029437941486044838
chloride_min,0.17359859090187502,-0.014731344640025484
pt_min,0.1464075884577998,0.0059458494631073324
wbc_min,0.12472635901227552,-8.212024037862527e-05
spo2_mean,0.10990562111961023,-0.017142098507488535
resp_rate_min,0.10945363845273297,-0.0030486353819416403
platelet_min,0.10610927276956769,0.004110590178283779
bicarbonate_min,0.10556188420953147,0.0038758258366843835
hemoglobin_max,0.10210563295653743,-0.009616289122675117
sbp_mean,0.101415188157963,0.0028415000624295856
mcv_max,0.08841691134419069,-0.002955940465501703
creatinine_max,0.07943404098857913,0.011095060885823002
temp_min,0.07410145868647484,-0.0030744568910471212
spo2_min,0.06781708305970291,-0.006657093274320218
sodium_min,0.05997820284285545,-0.0026006672409203155
mchc_min,0.05273453507342642,-0.004662275226940597
glucose_max,0.051796146945520066,0.0033056191594769873
ptt_mean,0.04926720532651855,-0.003363170108475005
dbp_min,0.04785342032552992,0.002905894034602741
phosphate_max,0.03557540904006188,-0.003590576605104506
magnesium_max,0.03005264124758184,0.006645166902093419
sofa_score,0.028813260840926166,-0.008499211269840818
potassium_max,0.028388658571409774,0.003738735085941678
calcium_min,0.02345340703151396,-0.002614145877158065
map_mean,0.02041899594130894,0.009175997132490196
