feature,mean_abs_shap,mean_shap
charlson_comorbidity_index,0.4954666,-0.05197438
gcs_score,0.35134277,-0.072081044
urine_output_24h,0.30698413,-0.063857794
anchor_age_x,0.30411452,-0.07693293
bnd_min,0.26511768,-0.052451454
los,0.203478,-0.031477846
heart_rate_mean,0.19386679,-0.04646053
chloride_min,0.19046766,-0.04064172
weight,0.18963428,-0.020919785
pt_min,0.15783012,-0.019680418
wbc_min,0.15632693,-0.022640923
platelet_min,0.1456363,-0.017254723
spo2_mean,0.13485345,-0.032760072
bicarbonate_min,0.12949798,-0.0061517865
resp_rate_min,0.12873577,-0.022785757
creatinine_max,0.12213277,0.017057834
hemoglobin_max,0.11846428,-0.030997002
sbp_mean,0.1166984,-0.0126491925
mcv_max,0.110259905,-0.014710754
temp_min,0.091448165,-0.017422417
sodium_min,0.0814173,-0.013563439
mchc_min,0.07841859,-0.020234235
glucose_max,0.074718475,-0.0013942837
dbp_min,0.0693262,0.008325014
ptt_mean,0.061838884,-0.013328491
spo2_min,0.057925355,-0.0055362955
potassium_max,0.05456449,-0.001643852
sofa_score,0.052593585,0.012948885
magnesium_max,0.051600415,0.0027753173
phosphate_max,0.051210467,-0.009790828
map_mean,0.047555283,-0.004064818
calcium_min,0.03047615,-0.009135409
