Variable,Overall (n = 8782),Survival group (n = 6805),Mortality group (n = 1977),p value
Weight (kg),"78.00 (65.10, 93.10)","79.00 (66.00, 94.30)","73.20 (61.60, 87.40)",< 0.001*
Heart rate bpm min,"70.00 (60.00, 82.00)","70.00 (60.00, 80.00)","75.00 (62.00, 88.00)",< 0.001*
Heart rate bpm max,"102.00 (89.00, 118.00)","101.00 (88.00, 116.00)","111.00 (95.00, 128.00)",< 0.001*
Heart rate bpm mean,"84.44 (73.90, 96.93)","83.27 (73.21, 95.07)","91.69 (78.69, 104.77)",< 0.001*
Respiratory rate bpm min,"12.00 (10.00, 15.00)","12.00 (10.00, 14.00)","13.00 (10.00, 16.00)",< 0.001*
Respiratory rate bpm max,"28.00 (24.00, 32.00)","27.00 (24.00, 31.00)","30.00 (26.00, 34.00)",< 0.001*
Respiratory rate bpm mean,"18.83 (16.61, 21.64)","18.56 (16.44, 21.15)","20.57 (17.71, 23.92)",< 0.001*
Systolic BP mmHg min,"90.00 (81.00, 101.00)","91.00 (82.00, 102.00)","85.00 (75.00, 96.00)",< 0.001*
Systolic BP mmHg max,"144.00 (130.00, 159.00)","144.00 (131.00, 160.00)","139.00 (125.00, 156.00)",< 0.001*
Systolic BP mmHg mean,"114.70 (104.88, 127.07)","115.78 (105.95, 128.11)","109.22 (100.00, 121.46)",< 0.001*
Diastolic BP mmHg min,"47.00 (40.00, 54.00)","47.00 (41.00, 55.00)","45.00 (37.00, 52.00)",< 0.001*
Diastolic BP mmHg max,"87.00 (75.00, 100.00)","87.00 (76.00, 100.00)","86.00 (74.00, 99.00)",< 0.001*
Diastolic BP mmHg mean,"62.96 (56.21, 70.88)","63.26 (56.54, 71.23)","61.46 (54.72, 69.00)",< 0.001*
Mean arterial pressure mmHg min,"60.00 (52.00, 68.00)","60.00 (53.00, 68.00)","57.00 (47.00, 64.00)",< 0.001*
Mean arterial pressure mmHg max,"101.00 (90.00, 115.00)","102.00 (91.00, 115.00)","99.00 (88.00, 113.00)",< 0.001*
Mean arterial pressure mmHg mean,"77.24 (70.68, 85.46)","77.84 (71.27, 86.03)","74.30 (67.88, 82.18)",< 0.001*
Temperature °C min,"97.60 (97.10, 98.00)","97.60 (97.20, 98.00)","97.50 (96.70, 97.90)",< 0.001*
Temperature °C max,"98.80 (98.30, 99.50)","98.80 (98.40, 99.40)","98.70 (98.20, 99.60)",< 0.001*
Temperature °C mean,"98.18 (97.80, 98.60)","98.20 (97.83, 98.60)","98.07 (97.59, 98.57)",< 0.001*
SpO2 % min,"92.00 (90.00, 94.00)","92.00 (90.00, 94.00)","91.00 (87.00, 94.00)",< 0.001*
SpO2 % max,"100.00 (99.00, 100.00)","100.00 (99.00, 100.00)","100.00 (99.00, 100.00)",< 0.01*
SpO2 % mean,"96.79 (95.38, 98.13)","96.86 (95.48, 98.16)","96.40 (94.64, 97.92)",< 0.001*
Bicarbonate min (mEq/L),"22.00 (20.00, 25.00)","23.00 (20.00, 25.00)","21.00 (17.00, 24.00)",< 0.001*
Bicarbonate max (mEq/L),"24.00 (21.00, 26.00)","24.00 (22.00, 26.00)","23.00 (19.00, 26.00)",< 0.001*
Bicarbonate mean (mEq/L),"23.00 (20.50, 25.67)","23.00 (21.00, 26.00)","21.63 (18.00, 25.00)",< 0.001*
BUN min (mg/dL),"20.00 (13.00, 33.00)","19.00 (13.00, 30.00)","28.00 (17.00, 46.00)",< 0.001*
BUN max (mg/dL),"22.00 (15.00, 38.00)","21.00 (14.00, 34.00)","32.00 (19.00, 52.00)",< 0.001*
BUN mean (mg/dL),"21.00 (14.00, 35.50)","20.00 (13.67, 32.50)","30.00 (18.50, 49.25)",< 0.001*
Creatinine min (mg/dL),"1.00 (0.70, 1.50)","0.90 (0.70, 1.40)","1.20 (0.80, 2.10)",< 0.001*
Creatinine max (mg/dL),"1.10 (0.80, 1.70)","1.00 (0.80, 1.60)","1.40 (0.90, 2.40)",< 0.001*
Creatinine mean (mg/dL),"1.00 (0.75, 1.63)","1.00 (0.70, 1.50)","1.30 (0.80, 2.25)",< 0.001*
INR min (mg/dL),"1.30 (1.10, 1.60)","1.30 (1.10, 1.50)","1.40 (1.20, 1.90)",< 0.001*
INR max (mg/dL),"1.40 (1.20, 1.70)","1.30 (1.20, 1.70)","1.50 (1.30, 2.10)",< 0.001*
INR mean (mg/dL),"1.30 (1.20, 1.63)","1.30 (1.15, 1.57)","1.50 (1.25, 2.00)",< 0.001*
Glucose min (mg/dL),"115.00 (96.00, 141.00)","115.00 (97.00, 141.00)","113.00 (93.00, 143.00)",< 0.001*
Glucose max (mg/dL),"136.00 (111.00, 178.00)","135.00 (110.00, 176.00)","141.00 (111.00, 192.00)",< 0.001*
Glucose mean (mg/dL),"127.00 (105.50, 160.00)","126.50 (105.67, 159.00)","128.55 (104.00, 166.00)",0.080
Sodium min (mg/dL),"137.00 (134.00, 140.00)","137.00 (135.00, 140.00)","136.00 (133.00, 140.00)",< 0.001*
Sodium max (mg/dL),"139.00 (136.00, 142.00)","139.00 (136.00, 141.00)","138.00 (135.00, 142.00)",< 0.001*
Sodium mean (mg/dL),"138.00 (135.20, 140.67)","138.00 (135.50, 140.50)","137.50 (134.00, 141.00)",< 0.001*
Potassium min (mg/dL),"4.00 (3.60, 4.40)","4.00 (3.60, 4.40)","4.10 (3.60, 4.50)",< 0.001*
Potassium max (mg/dL),"4.30 (4.00, 4.80)","4.30 (4.00, 4.70)","4.50 (4.00, 5.00)",< 0.001*
Potassium mean (mg/dL),"4.17 (3.83, 4.57)","4.15 (3.83, 4.50)","4.25 (3.85, 4.80)",< 0.001*
Calcium min (mg/dL),"8.30 (7.80, 8.80)","8.30 (7.80, 8.80)","8.10 (7.60, 8.70)",< 0.001*
Calcium max (mg/dL),"8.50 (8.10, 9.00)","8.60 (8.10, 9.00)","8.50 (7.90, 9.00)",< 0.001*
Calcium mean (mg/dL),"8.40 (7.90, 8.90)","8.40 (7.97, 8.90)","8.30 (7.80, 8.83)",< 0.001*
